t,spot_price,act_dol,act_ETH,net_worth,profit,threshold,target_price,price_gap,fees,spent,gains,profit
1,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
2,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
3,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
4,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
5,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
6,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
7,406.29,989817.356875,25,999974.606875,-25.39312499994412,1.422015,406.29,0.0,25.393125,10157.25,0,-10182.643125
8,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
9,405.80,989817.356875,25,999962.356875,-37.64312499994412,1.4203000000000001,405.8,0.0,25.393125,10157.25,0,-10182.643125
10,405.78,989817.356875,25,999961.856875,-38.14312499994412,1.4202299999999999,405.78,0.0,25.393125,10157.25,0,-10182.643125
11,405.77,989817.356875,25,999961.606875,-38.39312499994412,1.4201949999999999,405.77,0.0,25.393125,10157.25,0,-10182.643125
12,405.67,989817.356875,25,999959.106875,-40.89312499994412,1.419845,405.67,0.0,25.393125,10157.25,0,-10182.643125
13,405.67,989817.356875,25,999959.106875,-40.89312499994412,1.419845,405.67,0.0,25.393125,10157.25,0,-10182.643125
14,405.70,989817.356875,25,999959.856875,-40.14312499994412,1.41995,405.7,0.0,25.393125,10157.25,0,-10182.643125
15,405.54,989817.356875,25,999955.856875,-44.14312499994412,1.4193900000000002,405.54,0.0,25.393125,10157.25,0,-10182.643125
16,405.69,989817.356875,25,999959.606875,-40.39312499994412,1.419915,405.69,0.0,25.393125,10157.25,0,-10182.643125
17,405.70,989817.356875,25,999959.856875,-40.14312499994412,1.41995,405.7,0.0,25.393125,10157.25,0,-10182.643125
18,405.70,989817.356875,25,999959.856875,-40.14312499994412,1.41995,405.7,0.0,25.393125,10157.25,0,-10182.643125
19,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
20,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
21,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
22,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
23,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
24,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
25,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
26,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
27,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
28,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
29,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
30,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
31,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
32,406.00,989817.356875,25,999967.356875,-32.64312499994412,1.421,406.0,0.0,25.393125,10157.25,0,-10182.643125
33,405.87,989817.356875,25,999964.106875,-35.89312499994412,1.420545,405.87,0.0,25.393125,10157.25,0,-10182.643125
34,405.87,989817.356875,25,999964.106875,-35.89312499994412,1.420545,405.87,0.0,25.393125,10157.25,0,-10182.643125
35,405.87,989817.356875,25,999964.106875,-35.89312499994412,1.420545,405.87,0.0,25.393125,10157.25,0,-10182.643125
36,405.82,989817.356875,25,999962.856875,-37.14312499994412,1.42037,405.82,0.0,25.393125,10157.25,0,-10182.643125
37,405.86,989817.356875,25,999963.856875,-36.14312499994412,1.4205100000000002,405.86,0.0,25.393125,10157.25,0,-10182.643125
38,405.90,989817.356875,25,999964.856875,-35.14312499994412,1.42065,405.9,0.0,25.393125,10157.25,0,-10182.643125
39,405.90,989817.356875,25,999964.856875,-35.14312499994412,1.42065,405.9,0.0,25.393125,10157.25,0,-10182.643125
40,405.90,989817.356875,25,999964.856875,-35.14312499994412,1.42065,405.9,0.0,25.393125,10157.25,0,-10182.643125
41,405.87,989817.356875,25,999964.106875,-35.89312499994412,1.420545,405.87,0.0,25.393125,10157.25,0,-10182.643125
42,405.88,989817.356875,25,999964.356875,-35.64312499994412,1.42058,405.88,0.0,25.393125,10157.25,0,-10182.643125
43,405.89,989817.356875,25,999964.606875,-35.39312499994412,1.420615,405.89,0.0,25.393125,10157.25,0,-10182.643125
44,405.89,989817.356875,25,999964.606875,-35.39312499994412,1.420615,405.89,0.0,25.393125,10157.25,0,-10182.643125
45,405.81,989817.356875,25,999962.606875,-37.39312499994412,1.4203350000000001,405.81,0.0,25.393125,10157.25,0,-10182.643125
46,405.89,989817.356875,25,999964.606875,-35.39312499994412,1.420615,405.89,0.0,25.393125,10157.25,0,-10182.643125
47,405.89,989817.356875,25,999964.606875,-35.39312499994412,1.420615,405.89,0.0,25.393125,10157.25,0,-10182.643125
48,405.78,989817.356875,25,999961.856875,-38.14312499994412,1.4202299999999999,405.78,0.0,25.393125,10157.25,0,-10182.643125
49,405.71,989817.356875,25,999960.106875,-39.89312499994412,1.419985,405.71,0.0,25.393125,10157.25,0,-10182.643125
50,405.70,989817.356875,25,999959.856875,-40.14312499994412,1.41995,405.7,0.0,25.393125,10157.25,0,-10182.643125
51,405.70,989817.356875,25,999959.856875,-40.14312499994412,1.41995,405.7,0.0,25.393125,10157.25,0,-10182.643125
52,405.66,989817.356875,25,999958.856875,-41.14312499994412,1.41981,405.66,0.0,25.393125,10157.25,0,-10182.643125
53,405.66,989817.356875,25,999958.856875,-41.14312499994412,1.41981,405.66,0.0,25.393125,10157.25,0,-10182.643125
54,405.66,989817.356875,25,999958.856875,-41.14312499994412,1.41981,405.66,0.0,25.393125,10157.25,0,-10182.643125
55,405.66,989817.356875,25,999958.856875,-41.14312499994412,1.41981,405.66,0.0,25.393125,10157.25,0,-10182.643125
56,405.66,989817.356875,25,999958.856875,-41.14312499994412,1.41981,405.66,0.0,25.393125,10157.25,0,-10182.643125
